XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-132,,,,,,,,,,,"Variety: ""Yesternow,"" Hillel Show, and College Park Caucus, undated",Yesternow Hillel Show and College Park Caucus,,"WMUC (Radio station : College Park, Md.)","Yesternow, Hillel Show, and College Park Caucus at University of Maryland. Undated.",,WMUC Archives,2011-084,2,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018877-0001,0:53:46,0:53:46,Digitized through Mac Pro soundcard (HB),60 minutes long. ,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7ce6afde1322476
UMDM,WMUC-Reel-133,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 19, 1976","""You Must Remember This"", March 19, 1976",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 10AM-11AM, March 19, 1976.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,3/19/76,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018878-0001,1:00:09,1:00:09,Digitized through Mac Pro soundcard (HB),Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER. ,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6fcfc401cb72432
UMDM,WMUC-Reel-134,,,,,,,,,,,"Music: Techno Squid live, September 19, 1990","Techno Squid live at WMUC, 9/19/90",,"WMUC (Radio station : College Park, Md.)","Techno Squid live at WMUC, University of Maryland, September 19, 1990.",FM,WMUC Archives,2011-084,2,University Archives,University of Maryland at College Park,,9/19/90,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018882-0001,0:49:15,0:49:15,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=bed53da4286e453
UMDM,WMUC-Reel-135,,,,,,,,,,,"News: Terrapin Chronicle, February 23, 1995","""Terrapin Chronicle"", 2/23/95",,"WMUC (Radio station : College Park, Md.)","""Terrapin Chronicle,"" University of Maryland, February 23, 1995.",FM,WMUC Archives,2011-084,2,University Archives,University of Maryland at College Park,,2/23/95,"10.5""","1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018879-0001,0:32:37,0:32:37,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=05c54cdf28cc444
UMDM,WMUC-Reel-136,,,,,,,,,,,"Basketball: University of Maryland vs. Wake Forest, February 3, 1982","MD-Wake Centercourt, 2/3/82",,"WMUC (Radio station : College Park, Md.)","""Centercourt,"" University of Maryland vs. Wake Forest basketball game, February 3, 1982.",AM OR FM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,2/3/82,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018880-0001,0:24:08,0:24:08,Digitized through Mac Pro soundcard (HB),"Please rewind and put in box- return to sports office.  Cued-edited, length is 9:58.",Full,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ce97310383684e3
UMDM,WMUC-Reel-137,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 18, 1976","""You must Remember This"", March 18, 1976 (part 3?)",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This"", WMUC, University of Maryland, 4PM-5PM, March 18, 1976.",AM,WMUC Archives,2011-084,2, University Archives,"University of Maryland, College Park",,3/18/76,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018881-0001,1:07:07,0:59:50,Edited out screechy sounds at end of the digital master. Digitized through Mac Pro soundcard (HB),,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5c49a23b2a7a4d1
UMDM,WMUC-Reel-139,,,,,,,,,,,"Drama: unknown title, practice tape, undated","UMD Hillel and College Park Caucus for Sunday, 9/16/79",,"WMUC (Radio station : College Park, Md.)","Labeled as: ""UMD Hillel and College Park Caucus for Sunday, 9/16/79."" Student radio drama practice tape, undated.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018883-0001,0:54:40,0:54:40,Digitized through Mac Pro soundcard (HB),,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6c1598094cf54f9
UMDM,WMUC-Reel-140,,,,,,,,,,,"Drama: ""Theatre of the Mind-'Reeve's Tale,'"" March 3, 1973","Theatre of the Mind, Chaucer's ""Reeve's Tale"", 3/28/73","Kernis, Jay","WMUC (Radio station : College Park, Md.)","Theatre of the Mind, a look in Chaucer's ""Reeve's Tale,"" the third story in his Canterbury Tales. Insert included in box. Recorded March 27, 1973, broadcast from the University of Maryland on March 28, 1973.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",3/27/73,3/28/73,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018884-0001,0:17:59,0:17:59,Digitized through Mac Pro soundcard (HB),,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b15b71906a1d42a
UMDM,WMUC-Reel-141,,,,,,,,,,,"""Harold's Night Out"" with Liz Meyer and Friends, February 19, 1976","Harold's Night Out with Liz Meyer and Friends, 2/19/76","Meyer, Liz ","WMUC (Radio station : College Park, Md.)","Harold's Night Out with Liz Meyer and Friends, University of Maryland, February 19, 1976.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,2/19/76,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018885-0001,1:04:23,1:04:23,Digitized through Mac Pro soundcard (HB),Audio found on only left channel of the half track tape.,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=03fda8e070804fd
UMDM,WMUC-Reel-142,,,,,,,,,,,"Drama: ""Theatre of the Mind-'The Miser',"" February 21, 1973","Theatre of the Mind, Moliere's ""The Miser"", 2/21/73","Meyer, Liz ","WMUC (Radio station : College Park, Md.)","Theatre of the Mind, a look into Moliere's ""The Miser"", a five-act satirical comedy. Broadcast from the University of Maryland on February 21, 1973. ",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,2/21/73,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018909-0001,0:30:28,0:30:28,Digitized through Mac Pro soundcard (HB),Audio found on only right channel of the half track tape.,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=160dbf88aa40497
UMDM,WMUC-Reel-143,,,,,,,,,,,"Drama: ""Theatre of the Mind, 'An April Moment',"" February 7, 1973","Theayre[sic] of the Mind, ""An April Moment"", Weds, 2/7/73 at 9:30","Kernis, Jay; Myers, Liz","WMUC (Radio station : College Park, Md.)","Theatre of the Mind, ""An April Moment"", University of Maryland, Wednesday, February 7, 1973 at 9:30.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,2/7/73,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018886-0001,0:44:49,0:44:49,Digitized through Mac Pro soundcard (HB),Audio found on only right channel of the half track tape.,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=729a71e08e02440
UMDM,WMUC-Reel-144,,,,,,,,,,,"Drama: ""Theatre of the Mind,"" April 11, 1973","Theatre of the Mind, new Spoon River, Wednesday 4/11/73","Kernis, Jay; Wise, Mary","WMUC (Radio station : College Park, Md.)","Theatre of the Mind, new Spoon River, University of Maryland, Wednesday, April 11, 1973.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,4/11/73,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018887-0001,0:25:38,0:25:38,Digitized through Mac Pro soundcard (HB),"Open cue: ""Open Theme"" Closing cue: ""Logo I"" ; Audio found on only right channel of the half track tape.",Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=33d7eb19ab214bf
UMDM,WMUC-Reel-145,,,,,,,,,,,"Music: Norman Mayer Group live, February 18, 1995","Norman Mayer Group, live at WMUC, 2/18/95",,"WMUC (Radio station : College Park, Md.)","Norman Mayer Group, live at WMUC, University of Maryland, February 18, 1995.",FM,WMUC Archives,2011-084,2,University Archives,University of Maryland at College Park,,2/18/95,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018888-0001,1:06:51,1:06:51,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=814ee4c5ea144d2
UMDM,WMUC-Reel-147,,,,,,,,,,,"Basketball: University of Maryland vs. University of Virginia, January 31, 1979",MD-UVA on 1/31/79,,"WMUC (Radio station : College Park, Md.)","University of Maryland vs. University of Virginia basketball game played at Cole Field House in College Park, MD, on January 31, 1979. First and second halves split across reel sides A and and digital files 1 and 2.",AM,WMUC Archives,2011-084,3,University Archives,"University of Maryland, College Park",,1/31/79,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018889-0001,1:04:44,1:04:44,"Two recordings on reel side, each recorded mono in opposing directions. bcast-018889-0001 = UMD vs UVA first half; bcast-018889-0002 = UMD vs UVA second half. Resulted in 2 mono files.  Digitized through Mac Pro soundcard (HB).",,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ddee7ef0a7524d0
UMAM,,bcast-018889-0002,1:04:41,1:04:41,"Two recordings on reel side, each recorded mono in opposing directions. bcast-018889-0001 = UMD vs UVA first half; bcast-018889-0002 = UMD vs UVA second half. Resulted in 2 mono files.  Digitized through Mac Pro soundcard (HB).",,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a1c2639083914a4
UMDM,WMUC-Reel-148,,,,,,,,,,,"Football: University of Maryland vs. Wake Forest, October 21, 1978; University of Maryland vs. NC State","Maryland-Wake Forest Football game, 10/21/78","Margelis, George","WMUC (Radio station : College Park, Md.)","University of Maryland vs. Wake Forest football game, October 21, 1978, with Margelis-Byron.",AM,WMUC Archives,2011-084,3,University Archives,"University of Maryland, College Park",,10/21/78,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,Found that the audio tape had been broken by a previous user and the previous user spliced the ends incorrectly. The bad splice flipped the audio tape the wrong way to the rest of the tape. The bad splice has been fixed. (HB),"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019034-0001,1:15:27,1:15:27,Digitized through RME FireFace UCX (HB).,"Tape included two games spliced together. The content changes at 00:15:50, 00:16:17, 00:16:32, 00:17:37,  00:18:38, and 1:11:31. (HB)",Half,mono,DCMR,"Borchers, Henry",1/17/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9c1d3d6d69c2410
UMDM,WMUC-Reel-149,,,,,,,,,,,"Women's Basketball: University of Immaculata, 1978",Univ of MD women's B Ball 1978 VS Immaculata Eastern Regionals with Margelis-Young,"Margelis, George; Young, Bob","WMUC (Radio station : College Park, Md.)","Coverage of the Eastern regionals women's basketball game between the University of Maryland and Immaculata, 1978.",AM,WMUC Archives,2011-084,3,University Archives,"University of Maryland, College Park",,5/31/78,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Pennsylvania,Westchester,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019153-0001,1:36:21,1:24:46,Audio only found on left channel of tape; Audio starts louder  (Average RMS = -15 dB) and becomes quieter at 00:23:25 (Average RMS = -32 dB); At 1:22:55 7 minutes of silence was reduced to 30 seconds; At 1:23:50 5 minutes and 20 seconds of silence was reduced to 30 seconds; Digitized with RME Fireface UCX,Recording is incomplete and ends before the game finishes.,Half,mono,DCMR,"Borchers, Henry",2/6/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=31a5cc08e6b7475
UMDM,WMUC-Reel-150,,,,,,,,,,,"Drama: Show of the Week, ""Annie Get Your Gun,"" no date", ,,"WMUC (Radio station : College Park, Md.)","Show of the Week ""Annie Get Your Gun"", two hour segment, undated.",,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019135-0001,0:52:58,0:52:58,Contains 2 mono audio tracks going both directions; Digitized with RME Fireface UCX. Hum affects portions of live theatre recordings.,,Half,mono,DCMR,"Borchers, Henry",2/5/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=16d0350356b8422
UMAM,,bcast-019135-0002,0:56:34,0:56:34,Contains 2 mono audio tracks going both directions; Digitized with RME Fireface UCX. Hum affects portions of live theatre recordings.,,Half,mono,DCMR,"Borchers, Henry",2/5/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6902260fcb874a7
UMDM,WMUC-Reel-151,,,,,,,,,,,"Lacrosse: University of Maryland vs. Navy, no date; News Around the World, no date; News from American FM Radio Network, no date; Unidentified pop music; News edits, undated; Pop music","UMD VS Navy lacrosse game, with Dave Wilt and Brian Moore","Wilt, Dave; Moore, Brian","WMUC (Radio station : College Park, Md.)","University of Maryland vs. Navy lacrosse game with Dave Wilt and Brian Moore, as well as news programs and pop music. Undated.",,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019129-0001,0:59:01,0:50:21,Removed 00:08:44 of silence at 27:40; Removed .3 seconds of 5k tone at 00:28:07; Removed 1.8 seconds of 1k tone at 00:32:50; Removed .3 seconds of 5k tone at 00:32:56,,Half,mono,DCMR,"Borchers, Henry",2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c3c3a701ee5849c
UMDM,WMUC-Reel-152,,,,,,,,,,,"Music: Boy Racer and the Ropers live, October 23, 1994; Classical Music Program featuring BBC Symphony Orchestra, undated","Boy Racer and the Ropers, 10/23/94",,"WMUC (Radio station : College Park, Md.)","Interview and performance by Boy Racer and the Roper on WMUC, University of Maryland. BBC Symphony Orchestra plays overture for Idomeneo and two other pieces. October 23, 1994 and undated.",FM,WMUC Archives,2011-084,3,University Archives,University of Maryland at College Park,,10/23/94,"10.5""","1/4"" open reel tape",15,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019079-0001,0:33:00,0:28:42,Removed strange noise at 00:15:04 on bcast-019079-0001; Audio from 00:15:13 to 00:19:58 on bcast-019079-0001 is mono from the right channel because the left channel has another recording on it going in the other direction; Audio from 00:04:48 to the end on bcast-019079-0002 is mono from the right channel because the left channel has another recording on it going in the other direction; Removed tones from 00:01:28 on bcast-019079-0002; Contains orchestra music going the other direction at the end of reel playing at 7.5 ips; Do not play on mono speakers; Digitized with RME Fireface UCX.,This reel is messed up on the Boyracer part! Strange high-speed orchestral sounds are present! ,,stereo,DCMR,"Borchers, Henry",2/1/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b966f53017564df
UMAM,,bcast-019079-0002,1:05:50,0:15:53,Removed strange noise at 00:15:04 on bcast-019079-0001; Audio from 00:15:13 to 00:19:58 on bcast-019079-0001 is mono from the right channel because the left channel has another recording on it going in the other direction; Audio from 00:04:48 to the end on bcast-019079-0002 is mono from the right channel because the left channel has another recording on it going in the other direction; Removed tones from 00:01:28 on bcast-019079-0002; Contains orchestra music going the other direction at the end of reel playing at 7.5 ips; Do not play on mono speakers; Digitized with RME Fireface UCX.,This reel is messed up on the Boyracer part! Strange high-speed orchestral sounds are present! ,,stereo,DCMR,"Borchers, Henry",2/1/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3000f5b45202472
UMDM,WMUC-Reel-153,,,,,,,,,,,"Music and Sports: The Bayou live, October 10, 1978; Legal Brief and Terp Sportsline, February 23, 1981; news, undated","The Bayou Live, 10/10/78; Legal Brief Terp Sportsline, 2/23/81",,"WMUC (Radio station : College Park, Md.)","Live performance by Bayou, as well as the programs Legal Brief and Terp Sportsline programs, and reports about the Mt. St. Helens volcano eruption. ",AM or FM,WMUC Archives,2011-084,3,University Archives,"University of Maryland, College Park",,1978-10-10; 1981-02-23,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,Sticky shed syndrome,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019063-0001,1:14:30,0:55:41,Contains wow and flutter throughout from sticky tape; had to be digitized twice because there is a fragment that contains audio playing in the other direction; digitized with RME Fireface UCX.,For production use only,Half,stereo,DCMR,"Borchers, Henry",1/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=62e8297a1d87487
UMAM,,bcast-019063-0002,1:14:29,0:17:38,Contains wow and flutter throughout from sticky tape; had to be digitized twice because there is a fragment that contains audio playing in the other direction; digitized with RME Fireface UCX.,For production use only,Half,stereo,DCMR,"Borchers, Henry",1/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b780d46e9031466
UMDM,WMUC-Reel-154,,,,,,,,,,,"Music: ""No Holds Barred"" with guest Corey Davis, February 8, 1995","Ben Sumner's ""No Holds Barred,"" 2/8/1995, guest: Corey Davis","Davis, Corey; Sanders, Dave; Sumner, Ben","WMUC (Radio station : College Park, Md.)","Interview with Corey Davis on ""No Holds Barred,"" hosted by Ben Sumner, 2/8/1995; Dave Sanders speaks with Hamell on Trial's album ""Big as Life"".",FM,WMUC Archives,2011-084,3,University Archives,University of Maryland at College Park,,2/8/95,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019062-0001,0:37:29,0:35:56,Reduced 2 minutes of silence to 30 seconds at 00:31:09 in derivative; Digitized with RME Fireface UCX.,"Play to 30:30, play a PSA, & while the PSA is playing, fast forward to 32:30 and play rest of reel.",,stereo,DCMR,"Borchers, Henry",1/29/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f78f6a9946bd464
UMDM,WMUC-Reel-155,,,,,,,,,,,"Women's Basketball: University of Maryland vs. North Carolina State, January 16, 1979","Women's Basketball/UMD N.C. State, 1/16/79 Side 2",,"WMUC (Radio station : College Park, Md.)","Coverage of the women's basketball game between the University of Maryland and N.C. State, January 16, 1979.",AM,WMUC Archives,2011-084,3,University Archives,"University of Maryland, College Park",1/16/79,1/16/79,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019058-0001,1:03:02,0:54:52,bcast-019058-0001 contains a fragment of audio in reverse. This fragment was extracted and is contained in the correct direction in bcast-019058-0003; reel contains audio that was edited out of original tape recording; interview at end of second side is cut off; digitized with RME Fireface UCX.,Reel # One Never erase this,Half,mono,DCMR,"Borchers, Henry",1/29/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e53c6078dba44d9
UMAM,,bcast-019058-0002,1:03:03,1:03:03,bcast-019058-0001 contains a fragment of audio in reverse. This fragment was extracted and is contained in the correct direction in bcast-019058-0003; reel contains audio that was edited out of original tape recording; interview at end of second side is cut off; digitized with RME Fireface UCX.,Reel # One Never erase this,Half,mono,DCMR,"Borchers, Henry",1/29/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e0f269e7ea52426
UMAM,,bcast-019058-0003,1:03:02,0:01:22,bcast-019058-0001 contains a fragment of audio in reverse. This fragment was extracted and is contained in the correct direction in bcast-019058-0003; reel contains audio that was edited out of original tape recording; interview at end of second side is cut off; digitized with RME Fireface UCX.,Reel # One Never erase this,Half,mono,DCMR,"Borchers, Henry",1/29/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=28bb397a3a624a1
UMDM,WMUC-Reel-156,,,,,,,,,,,"WMUC Program, 1995 and/or 1996","Do not erase for air, 12/8/1995; Mary Jo Povicil for air 11/17 do not erase; Come 6/28/1996","Povicil, Mary Jo","WMUC (Radio station : College Park, Md.)","On the Margin program about the state of graduate studies, University of Maryland, circa 1995-1996.",FM,WMUC Archives,2011-084,3,University Archives,University of Maryland at College Park,,1995/1996,"10.5""","1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-019056-0001,00:38:39; 01:11:49,0:37:04,"Majority of tape is 15 IPS, but sections 00:00:00 - 00:00:17 and 00:34:46 - 00:37:03 are at 7.5 IPS; Section 00:00:21-00:01:36 contains the start of the interview but is quieter on tape. Not listenable or intelligible until 00:01:36, then persistent buzz under interview/conversation until 00:06:27; a section of the tape had been flipped and spliced upsidedown and had to be repaired to digitize correctly, and there is no derivative of this second side; Digitized with RME Fireface UCX.",,,stereo,DCMR,"Borchers, Henry",2/6/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0156ad9818934d3